CASEID,ngrdchdc,amb_01,ats_120,ats_130,ats_140,ats_145,alndimmg,bpr_19,brthcan,brthmacr,brthprvc,yrarri,cc_20_1,cc_30_1,cc_40_1,cc_50_1,cc_60_1,cca551c,cca651c,ccdyc1c,ccmoc1c,cp_10_1,cp_20_1,csp_110a,csp_110b,cu0_132,famtype,hsdsizec,marstat,sex,dwelc,acompstc,ehg3_01b,prv,region,famincg2,ttlincg2,lanhmult,lanhome,religflg,rto_100,rto_101,slm_01,srh_110,srh_115,sts_410,sts_420,tsa_010
    1, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,2,17, 2,24,2,2,2,1, 2,1,6,6, 8,1,1,6,6,96
    2, 7,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,97, 3,46,4,4,1,1, 1,7,6,6,10,3,3,6,6,96
    3, 4,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,30, 6,35,3,4,2,1, 2,1,6,6, 8,2,3,6,6,96
    4, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,4,18, 2,48,4,5,3,1, 1,1,6,6,10,2,2,6,6,96
    5, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,1,2,25, 4,24,2,3,1,1, 2,1,6,6, 8,3,3,6,6,96
    6, 3,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,17, 2,24,2,3,1,1, 2,1,6,6, 9,1,2,6,6,96
    7, 4,7,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,2,96, 1,12,1,1,1,1, 1,1,6,6, 4,5,5,6,6,96
    8,15,2,6,6,6,6,96,1,1,6, 4,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,2,3,96, 1,24,2,1,1,1, 2,1,6,6,10,3,2,6,6,96
    9, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,2,18, 2,59,5,1,1,1, 1,1,6,6, 8,2,2,6,6,96
   10, 0,1,6,6,6,6,96,1,1,6, 8,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,6, 6,1,1,96, 1,47,4,1,1,1, 1,1,6,6, 5,5,5,6,6,96
   11, 0,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,5, 6,1,1,96, 1,59,5,1,1,1, 1,1,6,6,10,1,1,6,6,96
   12, 0,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,1,28, 5,46,4,2,2,1, 1,7,6,6, 6,2,3,6,6,96
   13, 5,2,6,6,6,6,96,1,1,6, 2,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,37, 2,11,1,4,1,1, 1,1,6,6, 6,3,2,6,6,96
   14, 0,2,6,6,6,6,96,1,1,6, 5,96,1, 2,2,1, 4,5,2,96,96,2,96,6,6,1,2,4, 2,2,1,24, 3,24,2,4,2,1, 2,1,6,6,10,2,2,6,6,96
   15, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,2,1,18, 2,24,2,2,2,1, 2,1,6,6, 6,4,4,6,6,96
   16, 0,6,6,6,6,6, 6,6,2,4,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,2, 6,2,3,22, 6,59,5,2,2,1, 3,2,6,6, 9,1,1,6,6,96
   17,10,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,4,3, 1,1,1,19, 2,35,3,6,6,1, 1,1,6,6, 9,1,3,6,6,96
   18, 0,2,6,6,6,6,96,1,1,6, 8,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,2, 6,2,3,26, 6,59,5,4,4,1, 1,1,6,6, 8,3,3,6,6,96
   19, 1,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,4,30, 6,24,2,4,3,1, 2,1,6,6,10,4,3,6,6,96
   20, 0,2,6,6,6,6,96,1,1,6, 4,96,1, 1,2,2,12,6,8,98,98,2,96,6,6,1,2,5, 2,1,1,23, 6,13,1,6,4,2, 4,2,6,6, 9,1,1,6,6,96
   21, 2,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,4,24, 7,35,3,6,2,1, 1,1,6,6,10,2,1,6,6,96
   22, 0,6,6,6,6,6,96,6,2,4,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,1,24, 4,46,4,2,2,2, 5,2,6,6, 8,1,1,6,6,96
   23, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,4,22, 6,59,5,4,4,1, 1,2,6,6, 8,2,2,6,6,96
   24, 0,1,6,6,6,6,96,1,1,6, 8,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 6,1,1,96, 1,47,4,6,1,1, 1,2,6,6, 7,3,2,6,6,96
   25, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,2,2,36, 4,24,2,2,2,1, 2,1,6,6, 8,2,2,6,6,96
   26, 0,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,4,30, 6,35,3,4,4,1, 1,2,6,6, 9,1,3,6,6,96
   27, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,4,23, 7,35,3,5,5,1, 1,2,6,6, 7,1,2,6,6,96
   28, 0,6,6,6,6,6, 4,6,2,4,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 6,2,1,96, 1,47,4,6,1,1, 3,2,6,6, 2,2,1,6,6,96
   29, 0,6,2,2,2,6, 6,2,2,1,96,11,6,96,6,6,96,6,6,96,96,6,96,1,2,6,5,2, 4,2,4,23, 6,24,2,2,2,1, 3,1,6,6, 7,2,2,1,6, 2
   30, 0,6,6,6,6,6, 1,2,2,2,96, 6,6,96,6,6,96,6,6,96,96,6,96,6,6,1,1,2, 2,1,1,18, 2,48,4,3,2,1, 1,1,6,6, 9,3,2,6,6,96
   31, 0,2,6,6,6,6,96,1,1,6, 5,96,2,96,6,6,96,6,6,96,96,6,96,6,6,1,2,4, 2,2,1,22, 6,24,2,6,2,1, 2,1,6,6, 8,3,2,6,6,96
   32, 1,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,1,2,96, 1,46,4,2,2,1, 1,1,6,6, 7,3,2,6,6,96
   33, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,3, 6,1,4,96, 1,48,4,1,1,1, 1,1,6,6, 8,1,1,6,6,96
   34, 6,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,3,16, 2,24,2,2,2,1, 2,1,6,6,10,2,2,6,6,96
   35, 4,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 4,1,1,36, 5,35,3,3,3,1, 1,1,6,6, 8,2,2,6,6,96
   36, 4,2,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,96, 1,10,1,2,1,1, 1,1,6,6,10,4,3,6,6,96
   37, 0,6,6,6,6,6, 3,2,2,4,96,10,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 6,1,2,24, 6,59,5,4,3,1, 3,2,6,6, 7,2,2,6,6,96
   38, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,4,23, 7,35,3,3,3,1, 1,1,6,6, 8,2,2,6,6,96
   39, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,4,4, 6,1,4,96, 1,48,4,6,1,1, 1,1,6,6, 5,1,2,6,6,96
   40, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,4,3, 2,1,1,17, 2,35,3,4,1,1, 1,2,6,6,10,1,1,6,6,96
   41, 2,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,96, 1,59,5,2,2,1, 1,1,6,6,10,3,3,6,6,96
   42, 0,2,6,6,6,6,96,1,1,6, 5,96,1, 2,2,1, 6,5,2, 5,96,2,96,6,6,1,2,3, 2,2,1,27, 5,24,2,5,3,1, 2,1,1,1, 9,1,1,6,6,96
   43, 0,2,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,2, 6,2,4,27, 4,12,1,2,2,1, 1,1,6,6, 8,3,3,6,6,96
   44, 3,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,5, 1,1,1,24, 6,24,2,5,3,1, 2,1,2,1,10,1,1,6,6,96
   45, 0,2,6,6,6,6,96,1,1,6, 2,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,2,1,96, 1,11,1,3,1,1, 1,1,6,6, 8,4,4,6,6,96
